"","receiver_id","receiver_player_name","Pos","posteam","complete_pass","yards_gained","G"
"10351","00-0031325","S.Watkins","WR","KC",1,11,10
"10352","00-0030506","T.Kelce","TE","KC",1,3,15
"10353","00-0035140","M.Hardman","WR","KC",1,15,16
"10354","00-0033040","T.Hill","WR","KC",0,0,15
"10355","00-0032775","D.Robinson","WR","KC",1,3,16
"10356","00-0032775","D.Robinson","WR","KC",0,0,16
"10357","00-0031408","M.Evans","WR","TB",0,0,16
"10358","00-0031273","C.Brate","TE","TB",1,5,16
"10359","00-0033921","C.Godwin","WR","TB",1,7,12
"10360","00-0033856","L.Fournette","RB","TB",1,8,13
"10361","00-0033856","L.Fournette","RB","TB",1,6,13
"10362","00-0033921","C.Godwin","WR","TB",1,10,12
"10363","00-0033921","C.Godwin","WR","TB",1,11,12
"10364","00-0036427","T.Johnson","WR","TB",0,0,14
"10365","00-0031408","M.Evans","WR","TB",1,7,16
"10366","00-0036360","C.Edwards-Helaire","RB","KC",1,2,13
"10367","00-0033040","T.Hill","WR","KC",1,8,15
"10368","00-0030279","K.Allen","WR","LAC",0,0,14
"10369","00-0030279","K.Allen","WR","LAC",0,0,14
"10370","00-0033090","H.Henry","TE","LAC",0,0,14
"10371","00-0035250","D.Singletary","RB","BUF",1,5,16
"10372","00-0035689","D.Knox","TE","BUF",1,2,12
"10373","00-0030279","K.Allen","WR","LAC",1,11,14
"10374","00-0033699","A.Ekeler","RB","LAC",1,9,10
"10375","00-0033090","H.Henry","TE","LAC",0,0,14
"10376","00-0033699","A.Ekeler","RB","LAC",1,14,10
"10377","00-0033090","H.Henry","TE","LAC",1,5,14
"10378","00-0030279","K.Allen","WR","LAC",1,5,14
"10379","00-0028097","L.Smith","TE","BUF",1,3,10
"10380","00-0030279","K.Allen","WR","LAC",0,0,14
"10381","00-0030279","K.Allen","WR","LAC",0,0,14
"10382","00-0029000","C.Beasley","WR","BUF",0,0,15
"10383","00-0035329","D.Parham Jr.","TE","LAC",0,0,13
"10384","00-0035414","J.Guyton","WR","LAC",1,12,16
"10385","00-0033699","A.Ekeler","RB","LAC",1,7,10
"10386","00-0033699","A.Ekeler","RB","LAC",0,0,10
"10387","00-0035250","D.Singletary","RB","BUF",1,14,16
"10388","00-0036196","G.Davis","WR","BUF",1,20,16
"10389","00-0033090","H.Henry","TE","LAC",1,11,14
"10390","00-0030279","K.Allen","WR","LAC",0,0,14
"10391","00-0036196","G.Davis","WR","BUF",1,15,16
"10392","00-0029000","C.Beasley","WR","BUF",1,14,15
"10393","00-0029000","C.Beasley","WR","BUF",0,0,15
"10394","00-0036196","G.Davis","WR","BUF",0,0,16
"10395","00-0035250","D.Singletary","RB","BUF",1,1,16
"10396","00-0033699","A.Ekeler","RB","LAC",1,4,10
"10397","00-0033699","A.Ekeler","RB","LAC",1,11,10
"10398","00-0033536","M.Williams","WR","LAC",0,0,15
"10399","00-0035414","J.Guyton","WR","LAC",1,10,16
"10400","00-0030279","K.Allen","WR","LAC",1,9,14
